"Personal Identifiable Information","Date of Birth","User","Service Providers","We share Information You Provide...with these service providers as necessary to enable them to provide their services."
"Personal Identifiable Information","Email Address","User","Third Party Platforms and Partners","We share limited information which may include Information You Provide...with third party platforms and partners whose platform or services are integrated with the Platform."
"Personal Identifiable Information","Telephone Number","User","Service Providers","We share Information You Provide...with these service providers as necessary to enable them to provide their services."
"Personal Identifiable Information","Username","User","Users and the Public","Based on your privacy settings, your information, including your Profile Information...may be visible to other users and the public."
"Personal Identifiable Information","Password","User","Corporate Group","These entities process Information You Provide...for us, as necessary to provide certain functions..."
"Personal Identifiable Information","Profile Photo","User","Users and the Public","Based on your privacy settings, your information, including your Profile Information...may be visible to other users and the public."
"Personal Identifiable Information","Bio","User","Users and the Public","Based on your privacy settings, your information, including your Profile Information...may be visible to other users and the public."
"Personal Identifiable Information","Proof of Identity","User","Legal Authorities","We may access, preserve, and share the information...with law enforcement agencies, public authorities...if we have good faith belief that it is necessary to comply with applicable law..."
"Personal Identifiable Information","Proof of Age","User","Platform Administration","We also infer your age range, and under certain circumstances, may ask you to provide additional information to confirm your age."
"Contact Information","Names from Phone Book","User's Device","Platform","We collect information from your device’s phone book...and match that information to users of the Platform."
"Contact Information","Phone Numbers","User's Device","Platform","We collect information from your device’s phone book...and match that information to users of the Platform."
"Contact Information","Email Addresses","User's Device","Platform","We collect information from your device’s phone book...and match that information to users of the Platform."
"Contact Information","Social Network Contacts","Social Networks","Platform","If you choose to find other users through your social network contacts, we will collect your public profile information..."
"Contact Information","Your Contact Information Synced by Others","Other Users","Platform","We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user."
"User-Generated Content","Photographs","User","Users and the Public","Based on your privacy settings, your information, including your...User Content...may be visible to other users and the public."
"User-Generated Content","Videos","User","Service Providers","We engage service providers that help us provide, support, and develop the Platform..."
"User-Generated Content","Audio Recordings","User","Content Moderation Teams","We review User Content...through a mix of technology...and human moderation to protect the safety and well-being of our community."
"User-Generated Content","Livestreams","User","Users and the Public","Based on your privacy settings, your information, including your...User Content...may be visible to other users and the public."
"User-Generated Content","Comments","User","Users and the Public","Based on your privacy settings, your information, including your...User Content...may be visible to other users and the public."
"User-Generated Content","Hashtags","User","Platform","Provide and administer the Platform, such as enabling you to create, share, and consume content..."
"User-Generated Content","Feedback","User","Service Providers","We engage service providers that help us provide, support, and develop the Platform..."
"User-Generated Content","Reviews","User","Service Providers","We engage service providers that help us provide, support, and develop the Platform..."
"User-Generated Content","Clipboard Content","User's Device","Platform","We collect content...from your device's clipboard if you choose to copy and paste content to or from the Platform..."
"User-Generated Content","Content Metadata","Platform","Service Providers","We engage service providers that help us provide, support, and develop the Platform..."
"Communication Data","Direct Message Content","User","Platform Moderation","We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages...)"
"Communication Data","Timestamps","Platform","Platform","We collect the content of the message and the associated metadata (such as the time the message was sent, received and/or read...)"
"Communication Data","Participants","Platform","Platform","We collect the content of the message and the associated metadata...as well as the participants in the communication."
"Communication Data","Chat with Merchants","User","Merchants","We share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers..."
"Communication Data","Virtual Assistant Interactions","User","Service Providers","We share Information You Provide...with these service providers as necessary to enable them to provide their services."
"Communication Data","Inquiries","User","Customer Support","When you contact us, we collect the information you send us..."
"Communication Data","Feedback or Reports","User","Customer Support","When you contact us, we collect the information you send us..."
"Communication Data","Policy Violation Reports","User","Legal Authorities","We may access, preserve, and share the information...with law enforcement agencies...if we have good faith belief that it is necessary..."
"Transaction and Financial Information","Payment Card Details","User","Payment Providers","We share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers..."
"Transaction and Financial Information","Billing Information","User","Merchants","We share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers..."
"Transaction and Financial Information","Payment Confirmation Details","Payment Providers","Platform","We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details..."
"Transaction and Financial Information","Items Purchased","User","Merchants","We share Purchase Information related to the transaction with the merchant..."
"Transaction and Financial Information","Shipping Address","User","Merchants","We share the order items, contact details and delivery information so your order can be processed."
"Transaction and Financial Information","Delivery Status","Merchants","User","We receive information about the delivery of products you have purchased through our shopping features."
"Device and Technical Information","Device Model","Automatically Collected","Service Providers","We share...Automatically Collected Information...with these service providers as necessary to enable them to provide their services."
"Device and Technical Information","Operating System","Automatically Collected","Service Providers","We share...Automatically Collected Information...with these service providers as necessary to enable them to provide their services."
"Device and Technical Information","System Language","Automatically Collected","Service Providers","We share...Automatically Collected Information...with these service providers as necessary to enable them to provide their services."
"Device and Technical Information","Device Identifiers","Automatically Collected","Corporate Group","These entities process Information You Provide, Automatically Collected Information...for us, as necessary to provide certain functions..."
"Device and Technical Information","IP Address","Automatically Collected","Legal Authorities","We may provide information (such as your IP address) to law enforcement in the event of an emergency..."
"Device and Technical Information","Network Type","Automatically Collected","Platform","Maintain and enhance the safety, security, and stability of the Platform..."
"Device and Technical Information","Crash Reports","Automatically Collected","Platform","We collect service-related, diagnostic, and performance information, including crash reports and performance logs."
"Device and Technical Information","Performance Logs","Automatically Collected","Platform","We collect service-related, diagnostic, and performance information, including crash reports and performance logs."
"Device and Technical Information","Keystroke Patterns or Rhythms","Automatically Collected","Platform","We collect certain device and network connection information...keystroke patterns or rhythms..."
"Location Data","Approximate Location","Automatically Collected","Platform","We automatically collect information about your approximate location...based on your Technical Information (such as SIM card and IP address)."
"Location Data","Precise Location","User's Device","Platform","Where you enable location services for the TikTok app within your device settings, we collect approximate location information from your device."
"Location Data","Tagged Locations in Posts","User","Users and the Public","In addition, we collect location information...if you choose to add the location information to your User Content."
"Usage and Interaction Data","Content Viewed","Automatically Collected","Platform","We collect information about how you engage with the Platform, including information about the content you view..."
"Usage and Interaction Data","Duration and Frequency of Use","Automatically Collected","Platform","We collect information about how you engage with the Platform...the duration and frequency of your use..."
"Usage and Interaction Data","Interactions with Other Users","Automatically Collected","Platform","We collect information about how you engage with the Platform...your engagement with other users..."
"Usage and Interaction Data","Search Queries","Automatically Collected","Platform","We collect information about how you engage with the Platform...your search history..."
"Usage and Interaction Data","Settings and Preferences","User","Platform","We collect information about...your settings."
"Cookies and Tracking Technologies","Cookie Identifiers","Automatically Collected","Platform","We use cookies and similar tracking technologies to operate and provide the Platform."
"Cookies and Tracking Technologies","Session Tokens","Automatically Collected","Platform","We use cookies and similar tracking technologies to operate and provide the Platform."
"Cookies and Tracking Technologies","Web Beacons","Automatically Collected","Platform","We use cookies and similar tracking technologies to operate and provide the Platform."
"Cookies and Tracking Technologies","Pixel Tags","Automatically Collected","Advertisers","Some of our advertisers and other partners enable us to collect similar information directly from their website or app by integrating our TikTok Advertiser Tools (such as TikTok Pixel)."
"Inferred and Analytical Data","Age Range","Platform","Platform","We infer your attributes (such as age-range and gender) and interests based on the information we have about you."
"Inferred and Analytical Data","Gender","Platform","Platform","We infer your attributes (such as age-range and gender) and interests based on the information we have about you."
"Inferred and Analytical Data","Interests and Preferences","Platform","Advertisers","We use inferences...to serve you personalised ads based on your interests."
"Inferred and Analytical Data","Content Analysis","Platform","Platform","We detect and collect characteristics and features about the videos, images, and audio recordings..."
"Inferred and Analytical Data","Behavioral Profiles","Platform","Platform","We use the information we have to understand how people are using the Platform and to develop, test, and make improvements..."
"Third-Party and External Data","Activities on Other Websites and Apps","Third Parties","Platform","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform..."
"Third-Party and External Data","Products or Services Purchased Elsewhere","Third Parties","Platform","These partners also share information with us...including the products or services you purchased, online or in person."
"Third-Party and External Data","Mobile Advertising Identifiers","Third Parties","Platform","These partners also share information with us, such as mobile identifiers for advertising..."
"Third-Party and External Data","Payment Confirmations","Payment Providers","Platform","We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details..."
"Third-Party and External Data","Delivery Updates","Merchants","Platform","We receive information about...the delivery of products you have purchased through our shopping features."
"Third-Party and External Data","Data from TikTok Sign-In on Other Platforms","Third-Party Platforms","Platform","Third party platforms provide us with information...when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"Third-Party and External Data","Publicly Available Information","Public Sources","Platform","We may collect or receive information about you from...publicly available sources..."
"Third-Party and External Data","Information About You in Other Users' Content or Messages","Other Users","Platform","We also collect information about you where you are included or mentioned in User Content, Direct Messages..."
