"EdgeBetweenness","interaction","name","relationship","selected","shared interaction","shared name","text"
We use your information to process orders, such as to facilitate the purchase and delivery of products, and communicate with you about your orders.
We use your information to process orders, such as to facilitate the purchase and delivery of products, and communicate with you about your orders.
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We use your information where this is necessary to achieve legitimate interests - whether belonging to us, you, or a third party - provided these interests are not outweighed by your interests or fundamental rights and freedoms.
We use your information where this is necessary to achieve legitimate interests - whether belonging to us, you, or a third party - provided these interests are not outweighed by your interests or fundamental rights and freedoms.
We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages and associated metadata) for breaches of our Terms, Guidelines, and other policies.
We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages and associated metadata) for breaches of our Terms, Guidelines, and other policies.
We also infer your age range, and under certain circumstances, may ask you to provide additional information to confirm your age.
We also infer your age range, and under certain circumstances, may ask you to provide additional information to confirm your age.
We use your information to ensure the stability and security of the Platform, including by identifying and combating technical or security issues (such as technical bugs, spam accounts, and detecting abuse, fraud, and illegal activity).
We use your information to ensure the stability and security of the Platform, including by identifying and combating technical or security issues (such as technical bugs, spam accounts, and detecting abuse, fraud, and illegal activity).
We share your information with independent researchers to facilitate research that meets certain criteria, including where such researchers have demonstrable experience and expertise in their area.
We share your information with independent researchers to facilitate research that meets certain criteria, including where such researchers have demonstrable experience and expertise in their area.
We share your information with third parties whose platforms or services are integrated with the Platform.
We share your information with third parties whose platforms or services are integrated with the Platform.
Provide you with the Platform : We use your information to allow you to access and use the Platform, including allowing you to create, share, and consume content, interact with others, utilise features, and provide you with products and services you purchase.
Provide you with the Platform : We use your information to allow you to access and use the Platform, including allowing you to create, share, and consume content, interact with others, utilise features, and provide you with products and services you purchase.
Personalise features and content : We use your information to personalise  certain  features and content  on the Platform, such as providing your ""For You"" feed, which shows you videos that we think you would be interested in (see here for more information) and by suggesting accounts to you.
Personalise features and content : We use your information to personalise  certain  features and content  on the Platform, such as providing your ""For You"" feed, which shows you videos that we think you would be interested in (see here for more information) and by suggesting accounts to you.
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
To perform a task in the public interest

We may use your information where it is necessary to perform a task in the public interest, including undertaking research, preventing and detecting crime, safeguarding children and promoting public safety, security, and integrity as laid down by applicable law.
To perform a task in the public interest

We may use your information where it is necessary to perform a task in the public interest, including undertaking research, preventing and detecting crime, safeguarding children and promoting public safety, security, and integrity as laid down by applicable law.
To protect someone's vital interests

We may use your information where it is necessary to protect your or someone else's life, physical integrity, or safety.
To protect someone's vital interests

We may use your information where it is necessary to protect your or someone else's life, physical integrity, or safety.
We generally provide Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally provide Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy.
We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy.
We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so (such as improving and developing the Platform, and enhancing its safety, security and stability), and for the exercise or defence of legal claims.
We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so (such as improving and developing the Platform, and enhancing its safety, security and stability), and for the exercise or defence of legal claims.
If you violate our Guidelines or Terms, we may remove your Profile Information and/or User Content from public view immediately but keep your information as is necessary to process the violation.
If you violate our Guidelines or Terms, we may remove your Profile Information and/or User Content from public view immediately but keep your information as is necessary to process the violation.
We transfer your information as described in "" What Information We Collect "" to some countries with adequacy decisions, such as the countries listed here ; or
We transfer your information as described in "" What Information We Collect "" to some countries with adequacy decisions, such as the countries listed here ; or"
"3.0","-","service provider (-) collect information","COLLECT","false","-","service provider (-) collect information","How We Share Your Information

Service Providers
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"71.0","-","we (-) information you provide","COLLECT","false","-","we (-) information you provide","What Information We Collect

Information You Provide
We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password.
We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password.
We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us.
We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us.
We collect the Information You Provide when you fill in a form on the Platform.
We collect the Information You Provide when you fill in a form on the Platform.
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
Some examples include if you: log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide ,
Some examples include if you: log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide ,
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation."
"3.0","-","service provider (-) information from source","COLLECT","false","-","service provider (-) information from source","How We Share Your Information

Service Providers
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"71.0","-","we (-) direct message","COLLECT","false","-","we (-) direct message","What Information We Collect

Information You Provide

Direct Messages.
For example, when we process your information to provide you with the Platform, we keep this information for as long as you have an account.
This information includes your Profile Information , User Content , and Direct Messages ."
"5.0","-","entity within corporate group (-) information you provide","COLLECT","false","-","entity within corporate group (-) information you provide","As a global company, the Platform is supported by certain entities within our corporate group ("" Corporate Group "").
These entities process Information You Provide , Automatically Collected Information , and Information From Other Sources for us, as necessary to provide certain functions, such as storage, content delivery, security, research and development, analytics, online payments, customer and technical support, and content moderation."
"71.0","-","we (-) contact","COLLECT","false","-","we (-) contact","What Information We Collect

Information You Provide

Your Contacts."
"5.0","-","entity within corporate group (-) collect information","COLLECT","false","-","entity within corporate group (-) collect information","As a global company, the Platform is supported by certain entities within our corporate group ("" Corporate Group "").
These entities process Information You Provide , Automatically Collected Information , and Information From Other Sources for us, as necessary to provide certain functions, such as storage, content delivery, security, research and development, analytics, online payments, customer and technical support, and content moderation."
"71.0","-","we (-) information from form you use","COLLECT","false","-","we (-) information from form you use","What Information We Collect

Information You Provide

Information From Forms and Features You Use ."
"8.0","-","creator (-) information about number of view of video","COLLECT","false","-","creator (-) information about number of view of video","For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos.
For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos."
"71.0","-","we (-) collect information","COLLECT","false","-","we (-) collect information","What Information We Collect

Automatically Collected Information
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally provide Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally provide Information You Provide and Automatically Collected Information , although it depends on the specific situation."
"8.0","-","creator (-) aggregate demographic information about follower","COLLECT","false","-","creator (-) aggregate demographic information about follower","For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos.
For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos."
"71.0","-","we (-) content characteristic","COLLECT","false","-","we (-) content characteristic","What Information We Collect

Automatically Collected Information

Content Characteristics and Features."
"11.0","-","researcher (-) information describe in","COLLECT","false","-","researcher (-) information describe in","We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:
We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:"
"71.0","-","we (-) information from source","COLLECT","false","-","we (-) information from source","What Information We Collect
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform."
"71.0","-","we (-) profile information","COLLECT","false","-","we (-) profile information","What Information We Collect
Information You Provide

Profile Information.
We may use your information including your Profile Information or User Content where it is necessary to comply with a legal obligation.
We may use your information including your Profile Information or User Content where it is necessary to comply with a legal obligation.
For example, when we process your information to provide you with the Platform, we keep this information for as long as you have an account.
This information includes your Profile Information , User Content , and Direct Messages ."
"13.0","-","independent researcher (-) UNSPECIFIED_DATA","COLLECT","false","-","independent researcher (-) UNSPECIFIED_DATA","Independent Researchers: We share your information with independent researchers to facilitate research that meets certain criteria as described in Our Legal Bases and How We Process Your Information .
Independent Researchers: We share your information with independent researchers to facilitate research that meets certain criteria as described in Our Legal Bases and How We Process Your Information .
We share your information with independent researchers to facilitate research that meets certain criteria, including where such researchers have demonstrable experience and expertise in their area.
We share your information with independent researchers to facilitate research that meets certain criteria, including where such researchers have demonstrable experience and expertise in their area."
"71.0","-","we (-) purchase information","COLLECT","false","-","we (-) purchase information","What Information We Collect
Information You Provide

Purchase Information."
"30.0","-","measurement (-) UNSPECIFIED_DATA","COLLECT","false","-","measurement (-) UNSPECIFIED_DATA","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person."
"71.0","-","we (-) technical information","COLLECT","false","-","we (-) technical information","What Information We Collect
Technical Information.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
Some examples include if you: sign-up or log-in to the Platform using your account details from a third party platform (such as Facebook or Google), we will share certain  Technical Information to facilitate this,
Some examples include if you: sign-up or log-in to the Platform using your account details from a third party platform (such as Facebook or Google), we will share certain  Technical Information to facilitate this,
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"32.0","-","merchant (-) purchase information relate to transaction","COLLECT","false","-","merchant (-) purchase information relate to transaction","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers.
When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers."
"71.0","-","we (-) geolocation","COLLECT","false","-","we (-) geolocation","What Information We Collect
In addition, we collect location information (such as tourist attractions, shops, or other points of interest) if you choose to add the location information to your User Content .
In addition, we collect location information (such as tourist attractions, shops, or other points of interest) if you choose to add the location information to your User Content .
Automatically Collected Information

Location Information."
"34.0","-","payment provider (-) purchase information relate to transaction","COLLECT","false","-","payment provider (-) purchase information relate to transaction","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers.
When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers."
"71.0","-","we (-) usage information","COLLECT","false","-","we (-) usage information","What Information We Collect
Automatically Collected Information

Usage Information.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"48.0","-","public authority (-) information describe in","COLLECT","false","-","public authority (-) information describe in","We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:
We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:"
"71.0","-","we (-) infer information","COLLECT","false","-","we (-) infer information","What Information We Collect
Inferred Information."
"49.0","-","law enforcement (-) ip address","COLLECT","false","-","law enforcement (-) ip address","For example, we may provide information (such as your IP address) to law enforcement in the event of an emergency where someone's life or safety is at risk,
For example, we may provide information (such as your IP address) to law enforcement in the event of an emergency where someone's life or safety is at risk,"
"54.0","-","company in eea (-) UNSPECIFIED_DATA","COLLECT","false","-","company in eea (-) UNSPECIFIED_DATA","The European Commission has approved contractual clauses under Article 46 of the GDPR that allows companies in the EEA to transfer data outside the EEA.
The European Commission has approved contractual clauses under Article 46 of the GDPR that allows companies in the EEA to transfer data outside the EEA."
"71.0","-","we (-) cookie / pixel tag","COLLECT","false","-","we (-) cookie / pixel tag","What Information We Collect
Automatically Collected Information

Cookies.
We use cookies and similar tracking technologies to operate and provide the Platform.
We use cookies and similar tracking technologies to operate and provide the Platform.
For example, we use cookies to remember your language preferences, make sure you don't see the same video more than once, and for security purposes.
For example, we use cookies to remember your language preferences, make sure you don't see the same video more than once, and for security purposes.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
By clicking ""Accept All"", you agree to let us use our own and third party cookies for marketing purposes so that we can understand the effectiveness of TikTok's advertising campaigns.
By clicking ""Accept All"", you agree to let us use our own and third party cookies for marketing purposes so that we can understand the effectiveness of TikTok's advertising campaigns."
"55.0","-","tiktok (-) cookie / pixel tag","COLLECT","false","-","tiktok (-) cookie / pixel tag","TikTok uses cookies and similar technologies to provide, improve, secure and analyse our services.
TikTok uses cookies and similar technologies to provide, improve, secure and analyse our services."
"71.0","-","we (-) user content","COLLECT","false","-","we (-) user content","We collect User Content through pre-loading at the time of creation, import, or upload, regardless of whether you choose to save or upload that User Content , for example, to recommend music based on the video.
We collect User Content through pre-loading at the time of creation, import, or upload, regardless of whether you choose to save or upload that User Content , for example, to recommend music based on the video.
We may use your information including your Profile Information or User Content where it is necessary to comply with a legal obligation.
We may use your information including your Profile Information or User Content where it is necessary to comply with a legal obligation.
For example, when we process your information to provide you with the Platform, we keep this information for as long as you have an account.
This information includes your Profile Information , User Content , and Direct Messages ."
"71.0","-","we (-) content","COLLECT","false","-","we (-) content","We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform or share content between it and a third party platform.
We also collect content (such as text, images, and video) from your device's clipboard if you choose to copy and paste content to or from the Platform or share content between it and a third party platform."
"71.0","-","we (-) content you create","COLLECT","false","-","we (-) content you create","We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams, comments, hashtags, feedback, reviews, and the associated metadata (such as when, where, and by whom the content was created).
We collect the content you create or publish through the Platform, such as photographs, videos, audio recordings, livestreams, comments, hashtags, feedback, reviews, and the associated metadata (such as when, where, and by whom the content was created)."
"71.0","-","we (-) content of message","COLLECT","false","-","we (-) content of message","If you communicate with others using direct messages, we collect the content of the message and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication).
If you communicate with others using direct messages, we collect the content of the message and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication)."
"71.0","-","we (-) associate metadata","COLLECT","false","-","we (-) associate metadata","If you communicate with others using direct messages, we collect the content of the message and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication).
If you communicate with others using direct messages, we collect the content of the message and the associated metadata (such as the time the message was sent, received and/or read, as well as the participants in the communication)."
"71.0","-","we (-) message you send","COLLECT","false","-","we (-) message you send","We also collect the messages you send or receive through our chat functionality when communicating with merchants who sell goods to you, and your use of virtual assistants when purchasing items through the Platform.
We also collect the messages you send or receive through our chat functionality when communicating with merchants who sell goods to you, and your use of virtual assistants when purchasing items through the Platform."
"71.0","-","we (-) email address","COLLECT","false","-","we (-) email address","If you choose to sync your contacts, we will collect information from your device's phone book such as names, phone numbers, and email addresses, and match that information to users of the Platform.
If you choose to sync your contacts, we will collect information from your device's phone book such as names, phone numbers, and email addresses, and match that information to users of the Platform.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties.
Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform using sign-in features provided by those third parties."
"71.0","-","we (-) phone number","COLLECT","false","-","we (-) phone number","If you choose to sync your contacts, we will collect information from your device's phone book such as names, phone numbers, and email addresses, and match that information to users of the Platform.
If you choose to sync your contacts, we will collect information from your device's phone book such as names, phone numbers, and email addresses, and match that information to users of the Platform.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account."
"71.0","-","we (-) person name","COLLECT","false","-","we (-) person name","If you choose to sync your contacts, we will collect information from your device's phone book such as names, phone numbers, and email addresses, and match that information to users of the Platform.
If you choose to sync your contacts, we will collect information from your device's phone book such as names, phone numbers, and email addresses, and match that information to users of the Platform.
If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts.
If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts."
"71.0","-","we (-) public profile information","COLLECT","false","-","we (-) public profile information","If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts.
If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts."
"71.0","-","we (-) profile","COLLECT","false","-","we (-) profile","If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts.
If you choose to find other users through your social network contacts, we will collect your public profile information as well as names and profiles of your social network contacts."
"71.0","-","we (-) information about purchase transaction","COLLECT","false","-","we (-) information about purchase transaction","When you make a purchase or payment on or through the Platform, including when you buy TikTok Coins or purchase goods through our shopping features, we collect information about the purchase or payment transaction, such as payment card information, billing, delivery, and contact information, and items you purchased.
When you make a purchase or payment on or through the Platform, including when you buy TikTok Coins or purchase goods through our shopping features, we collect information about the purchase or payment transaction, such as payment card information, billing, delivery, and contact information, and items you purchased."
"71.0","-","we (-) information you send we","COLLECT","false","-","we (-) information you send we","When you contact us, we collect the information you send us, such as proof of identity or age, feedback or inquiries about your use of the Platform or information about possible violations of our Terms of Service (our "" Terms ""), Community Guidelines (our "" Guidelines ""), or other policies.
When you contact us, we collect the information you send us, such as proof of identity or age, feedback or inquiries about your use of the Platform or information about possible violations of our Terms of Service (our "" Terms ""), Community Guidelines (our "" Guidelines ""), or other policies."
"71.0","-","we (-) device information","COLLECT","false","-","we (-) device information","We collect certain device and network connection information when you access the Platform.
We collect certain device and network connection information when you access the Platform."
